
64
81,79,62
79
90,78
90,76
90,74
74
73,50
71,50
70,50
70
86,71
86,73
86,74
74
79,76,50
79,79,50
79,78,50
78
88,76
88,74
88,73
73
71,49
69,49
68,49
68
85,69
85,71
85,73
73
78
78,74,47
74,47
86,74,47
74,47
85,74,47
74,47
83,74,47
83
83,67,59
67,59
81,67,59
67,59
79,67,59
67,59
78,67,59
78
78,60
60
76,60
60
75,60
60
76,60
76
76,67,59
67,59
78,67,59
67,59
79,67,59
67,59
81,67,59
81
81,66,57
66,57
84,66,57
66,57
83,66,57
66,57
81,66,57
81
81,75,54
75,54
79,75,54
75,54
78,75,54
75,54
76,75,54
76
76,47
47
75,47
47
73,47
47
75,47
75
75,66,59
66,59
76,66,59
66,59
78,66,59
66,59
66,64
67,66,64
67,66,67,64
67,67,64
67,69,64
67,69
69
69,62
79,71,62
79,73,62
79,74,62
79,74
79,74,61
79,76,61
76,61
76,76,61
78,76,61
78,76
76,59
79,64,59
64,59
81,64,59
64,59
83,64,59
83,64
64
85,64,57
85,61,57
85,62,57
62
73,62,55
73,64,55
73,55
73,66,55
73,55
73,67,55
73,67
73
73,54
73,57,54
73,69,57,54
69,57,54
71,57,54
71,57
73,57,52
73,69,52
74,69,52
76,69,52
76,69
66,69,62
66,66,62
66,67,62
67
78,67,61
78,69,61
78,71,61
78,73,61
78,73
78,73,59
78,74,59
74,59
74,74,59
74,59
76,74,59
76,74
74
78,74,57
78,62,57
62,57
80,62,57
62,57
82,62,57
82,62
62
62,55
83,62,55
83,59,55
83,61,55
83,61
61
61,54
71,62,54
71,64,54
71,66,54
71,66
71,66,52
71,55,52
55,52
67,55,52
55,52
69,55,52
69,55
55
55,50
71,67,50
67,50
73,67,50
67,50
74,67,50
74,67
67
67,61
64,67,61
67,61
73,67,61
73,64,61
64,61
74,66,61
74,66
66
66,59
76,67,59
67,59
78,67,59
78,69,59
69,59
59
79,71,59
79,71
58
79,61,58
58
78,58
78,70,58
70,58
58
80,71,58
80,71
56
82,73,56
56
83,74,56
56
85,56
85,76,56
76
85,54
85,73,54
73,54
73,73,54
73,54
74,73,54
74,73
52
76,52
52
78,52
52
79,52
79
50
79,50
50
78,50
50
80,50
80
49
82,49
49
83,49
49
85,49
47
86,47
86,71,47
86,47
86,69,47
47
86,67,47
86,47
86,66,47
86,47
86,64,47
86,64
86,62
86
86,66
86
86,64
47
86,62,47
86,47
86,61,47
86,47
86,59,47
86,59
86,52
86,67,52
84,67,52
83,67,52
83,52
84,52
84,67,52
83,67,52
81,67,52
81,67
81
79
79,67
78,67
76,67
76
75,52
75,67,52
76,67,52
79,67,52
79,67
79
84,45
84,67,45
84,45
84,66,45
84,45
84,64,45
84,45
84,66,45
84,45
84,64,45
84,45
84,62,45
84,62
84
84,60
84
84,59
84
84,57
84
84,45
84,56,45
84,45
84,57,45
84,45
84,60,45
84,60
84
84,50
84,66,50
83,66,50
82,66,50
82,50
82,66,50
83,66,50
83,66
83
83,66
83
74,50
74,66,50
74,66
74
74,66,43
74,43
74,64,43
74,73,64,43
74,73,43
63,73,43
63,43
73,63,43
73,64,43
64,43
72,64,43
72,64
72,64,43
64,43
72,64,43
64,43
71,64,43
71,64
71,76,43
76,43
71,76,43
76,43
70,76,43
70,76
70,76,42
76,42
70,76,42
70,42
70,73,42
73,42
79,73,42
79
79,70,54
70,54
79,70,54
79,54
79,78,71,54
78,71,54
78,71
73
82,73
82
82,74
82
82,73
73
82,73
82
82,64
64
83,64
83
62,55
83,62,55
83,55
83,61,55
83,55
83,59,55
83
83,61,52
83,52
52
67,52
85,67,52
85
83,66,54
82,66,54
83,66,54
82,66,54
82,54
83,64,54
82,64,54
83,64,54
82,64,54
82
83,62,42
82,62,42
83,62,42
82,62,42
82,42
83,61,42
83
83,59,43
83,59
83,59,55
83
83,64,55
83,64
83,64,54
83
83,62,54
83,62
83,62,52
83
83,67,52
83,67
83,67,54
83
83,65,54
65,54
82,65,54
65,54
80,65,54
80
80,66
66
82,66
66
80,66
80,66,66
80,78,66,66
78,66,66
66
79,66
79
79,64
79
79,64
64
84,64
84
84,62
84
84,64
64
